Symbol,logFC,PValue,FDR,
CG4269,0.081926359,0.78253684,0.986494929,
CG30278,0.082273794,0.913664661,1,
e(y)2,0.082288749,0.840054434,1,
Oda,0.082368674,0.769051994,0.979587749,
CG5118,0.082375856,0.782487061,0.986494929,
CG9330,0.082420601,0.757352902,0.972048305,
Ubi-p5E,0.082509081,0.772232153,0.981066344,
CG45073,0.082650587,0.944875165,1,
comm,0.082704677,0.821873595,1,
PMCA,0.082843016,0.777472141,0.983648872,
CG16753,0.082862705,0.819358261,1,
Mst84Dd,0.082898194,0.951359231,1,
CR42532,0.08293038,0.9146971,1,
CG10307,0.083049699,0.796443792,0.995043912,
alien,0.08314438,0.741717831,0.963702101,
Pvf3,0.083171613,0.916628314,1,
Trpm,0.083234063,0.781322039,0.986167458,
vig2,0.083656808,0.769492422,0.979863303,
l(3)03670,0.083902876,0.784527346,0.988216296,
CG3446,0.083907395,0.753898582,0.96996941,
CG18081,0.084311742,0.750911069,0.968613807,
CR45801,0.084410904,0.869601298,1,
Smurf,0.084430454,0.768837367,0.979467442,
Rtnl1,0.084606422,0.767576655,0.978730254,
cort,0.08475864,0.781825682,0.986365374,
lbk,0.084800574,0.798388171,0.995863441,
alpha-Man-II,0.084839095,0.828530383,1,
CG32174,0.0848812,0.724673099,0.953629575,
Apc2,0.084914441,0.79580181,0.994601037,
sli,0.084916224,0.828599916,1,
snoRNA:Dek-a,0.084923395,0.926884925,1,
CG4119,0.084927228,0.77825223,0.983857861,
Sec6,0.085114195,0.765764217,0.97778231,
snoRNA:Me18S-A28a,0.085129256,0.904649865,1,
pasha,0.085163622,0.817920729,1,
frc,0.08524371,0.723567217,0.952935484,
CG11585,0.085294872,0.932967576,1,
CG12344,0.085305472,0.824366947,1,
GlyS,0.085471835,0.740608262,0.96306606,
RpL11,0.085477126,0.775603513,0.982494781,
Tip60,0.085645238,0.794357492,0.993583263,
CG6985,0.085706645,0.798150062,0.995695049,
CG11555,0.085776386,0.782540346,0.986494929,
Atox1,0.085786629,0.75102131,0.968625318,
CG8564,0.085798449,0.922022654,1,
Ppcs,0.08580107,0.762163377,0.975746865,
CG5098,0.085940315,0.791577842,0.991882537,
mt:CoII,0.085960916,0.777059619,0.983484531,
CG16786,0.086160334,0.953748468,1,
snoRNA:Psi18S-1347a,0.086219673,0.959885627,1,
CR43363,0.086219673,0.959885627,1,
CG7741,0.086315124,0.761829963,0.975718077,
CG14440,0.086405732,0.808130296,1,
CG33298,0.086414745,0.747708716,0.966693187,
mRpS26,0.086645666,0.752622953,0.969385105,
CR15821,0.086819305,0.95342022,1,
CG43255,0.086819305,0.95342022,1,
pre-mod(mdg4)-W,0.086898675,0.792280641,0.991981417,
CG12400,0.086922935,0.781671615,0.98632397,
nol,0.08694611,0.956733112,1,
CG7342,0.08694611,0.956733112,1,
snoRNA:Or-CD10,0.08694611,0.956733112,1,
CG10700,0.087201402,0.959531671,1,
CR43258,0.087201402,0.959531671,1,
Pmm45A,0.087227846,0.798455862,0.995863441,
CG4041,0.087343759,0.819667902,1,
CR45131,0.087481275,0.849150437,1,
CG3285,0.087672738,0.959273252,1,
CG10725,0.087672738,0.959273252,1,
CG4613,0.087672738,0.959273252,1,
CG33704,0.087672738,0.959273252,1,
CR43418,0.087672738,0.959273252,1,
mir-10,0.087982452,0.932864627,1,
RpS20,0.088242876,0.774426992,0.982174586,
CG18004,0.088285962,0.813864838,1,
Tsf3,0.088333081,0.905815257,1,
CG32939,0.088402547,0.949293696,1,
CG2964,0.088461552,0.911131073,1,
CG6766,0.088504218,0.755221591,0.970142335,
mRpL14,0.088523439,0.766491996,0.978169863,
CG10144,0.088576191,0.762158465,0.975746865,
Chrac-16,0.088637577,0.827759361,1,
IntS3,0.088655394,0.736945816,0.961735735,
Mys45A,0.088752968,0.769577963,0.979900886,
RpS5a,0.0888273,0.776517744,0.983154433,
CG30197,0.089139151,0.848351441,1,
CG3294,0.089315994,0.876765232,1,
WDR79,0.089397269,0.768659833,0.979373532,
Ino80,0.089416259,0.838334741,1,
CG13689,0.089553367,0.860445,1,
CR45225,0.089655604,0.869545784,1,
CG10565,0.089686983,0.812612077,1,
ppk26,0.08968915,0.944767263,1,
mre11,0.089715063,0.79387892,0.993413631,
Ir48b,0.089914717,0.941090938,1,
CG6182,0.090217252,0.772840075,0.981553475,
CG9153,0.090222392,0.735488718,0.960407472,
Fpps,0.090256826,0.788152204,0.990292734,
CR44713,0.090259491,0.913213967,1,
Tango4,0.090677473,0.76232916,0.975746865,
CG9067,0.090952969,0.822865316,1,
RpS3A,0.091110069,0.767918709,0.978928442,
Stim,0.091187591,0.739049454,0.962795783,
spn-F,0.091410599,0.740316201,0.96306606,
fwd,0.091529441,0.777357445,0.983576771,
blue,0.091587495,0.775511706,0.982494781,
CG9186,0.091732992,0.712164361,0.945752594,
CG33332,0.09175534,0.783709832,0.987613297,
cindr,0.091932858,0.740601082,0.96306606,
CG4925,0.09212213,0.795377665,0.994506388,
CG43117,0.092273062,0.871939076,1,
CG18262,0.092400498,0.844789347,1,
Cpr67Fa2,0.092491019,0.947910219,1,
Tbce,0.092599435,0.750890222,0.968613807,
CG31126,0.092615408,0.779323583,0.984611161,
CG2182,0.092805287,0.732664755,0.958580683,
CG3402,0.092837922,0.777815038,0.98372876,
CG17361,0.092934614,0.79019267,0.991047807,
PhKgamma,0.092957884,0.705922451,0.941775405,
sphinx2,0.093064101,0.946408771,1,
CG44163,0.093064101,0.946408771,1,
Task6,0.093344785,0.866488412,1,
edin,0.093723182,0.950660877,1,
Hop,0.093727817,0.722156557,0.952073803,
snoRNA:Psi28S-3091a,0.093759284,0.899176651,1,
CG6201,0.093970949,0.778496177,0.983930066,
CG7366,0.094127904,0.934535837,1,
rpk,0.094200984,0.92869634,1,
Ilp8,0.094468062,0.908797899,1,
CG9249,0.094648375,0.743396814,0.96468395,
CR43611,0.094659675,0.918156513,1,
spel1,0.094866246,0.727082782,0.954705544,
CG14969,0.09504402,0.742113489,0.963876795,
CG12360,0.095167184,0.748183819,0.967164449,
GstE12,0.095187734,0.725010477,0.953661506,
PI4KIIIalpha,0.095343895,0.720962785,0.95131189,
GstE9,0.095880113,0.817253577,1,
Brms1,0.09588702,0.803607191,0.998585419,
ZAP3,0.095924228,0.706588287,0.942297304,
CG1104,0.096067266,0.718658589,0.949776237,
CG2811,0.096073037,0.71342591,0.946651936,
Gnmt,0.096180928,0.81359556,1,
CG31908,0.096320008,0.752796562,0.969385105,
Sply,0.096321571,0.697299573,0.935688932,
CG3704,0.096354293,0.724519544,0.953629575,
vig,0.096392482,0.75797459,0.972489406,
CG15922,0.096623043,0.790158163,0.991047807,
Pcd,0.09686981,0.788708095,0.99055756,
eca,0.096892381,0.743773442,0.964688531,
row,0.09691321,0.753232753,0.969589133,
CG5037,0.09693396,0.748626931,0.967328346,
Mio,0.097147173,0.732646824,0.958580683,
CG43116,0.097153535,0.932708547,1,
CG4078,0.097287961,0.812031635,1,
CG11095,0.097589257,0.869697494,1,
Hsc70Cb,0.097662613,0.726367412,0.954124374,
Cp1,0.097692205,0.735883983,0.960636727,
CG5484,0.097848897,0.719640579,0.950571236,
CG4936,0.097879566,0.788214131,0.990292734,
CG1983,0.097938653,0.752990786,0.96943732,
Ran,0.097989011,0.740541231,0.96306606,
CG10734,0.098158318,0.949062226,1,
verm,0.098169188,0.931386822,1,
CG17580,0.098258626,0.957156036,1,
CG33263,0.098258626,0.957156036,1,
Reps,0.098417886,0.718226619,0.949458349,
CG31922,0.098420731,0.798930958,0.996171844,
CG5482,0.098474789,0.72767121,0.955191344,
RpL24,0.098507931,0.75836454,0.972846986,
eEF1delta,0.09874566,0.765399746,0.977566341,
CG14313,0.098820616,0.851635466,1,
Pxn,0.099035448,0.85714569,1,
Nufip,0.099210814,0.814213479,1,
CG14829,0.099295071,0.897705946,1,
dmpd,0.09935109,0.761305692,0.975366998,
Pep,0.099577218,0.795802124,0.994601037,
CG34177,0.099711691,0.956577968,1,
CG34178,0.099711691,0.956577968,1,
mir-970,0.099711691,0.956577968,1,
CR44852,0.099711691,0.956577968,1,
Art2,0.100028918,0.943678495,1,
CG1662,0.100282503,0.751336857,0.968662953,
nop5,0.100328368,0.710258528,0.944599015,
CG9254,0.100328511,0.854523644,1,
Aats-gln,0.10036473,0.678300653,0.924767472,
Aats-lys,0.100449617,0.750893988,0.968613807,
brv2,0.100570955,0.947767754,1,
Fs,0.100578188,0.811765,1,
DLP,0.10060211,0.744031154,0.964688531,
CR44067,0.100653523,0.816875023,1,
nes,0.100798154,0.744062223,0.964688531,
DnaJ-H,0.100813812,0.683209668,0.926377013,
Amun,0.100852861,0.695857401,0.935043019,
CG33725,0.100887445,0.924702457,1,
Est-P,0.100913241,0.803070584,0.998131361,
Sod2,0.101009456,0.733255986,0.958638688,
CG7362,0.101022705,0.908071047,1,
CG12393,0.101045651,0.735723762,0.960570961,
mbm,0.101135587,0.770828046,0.980707247,
CG14270,0.101214529,0.695557419,0.934929239,
mRpL41,0.101239925,0.794255794,0.993583263,
CG7849,0.101277872,0.82179101,1,
CG12929,0.101320065,0.762634257,0.975747854,
CG1236,0.101342445,0.774544042,0.982174586,
CG15439,0.101368766,0.771130669,0.980911984,
CG7956,0.101689193,0.728241075,0.955302943,
CG5110,0.101919933,0.725052162,0.953661506,
l(3)j2D3,0.102040234,0.757297324,0.972048305,
vtd,0.102052886,0.746569117,0.966157202,
CG3548,0.102178864,0.806018441,1,
AlkB,0.102371043,0.785613322,0.988374119,
XRCC1,0.102373061,0.739700003,0.962975221,
CG30460,0.102569895,0.72022613,0.950926053,
CG14806,0.102694548,0.741758587,0.963702101,
eIF-5A,0.102889144,0.725105231,0.953661506,
mRpL4,0.102930049,0.721099074,0.95135706,
Tsp42Ea,0.102975898,0.79027566,0.991047807,
CR45396,0.10307791,0.81455344,1,
GCC185,0.103106564,0.754749142,0.970020225,
Rpt3R,0.103146414,0.881975559,1,
CG7289,0.103210977,0.755363465,0.970206874,
Bap170,0.103351507,0.772957241,0.981631001,
CG31812,0.103494207,0.743933127,0.964688531,
snoRNA:Psi28S-2179,0.103510049,0.897026002,1,
CG17840,0.103632169,0.783266422,0.987267925,
ocm,0.103735395,0.745861301,0.965875474,
CG12104,0.103769927,0.700010067,0.937471803,
pre-mod(mdg4)-AE,0.10379123,0.754195788,0.96996941,
Skp2,0.103935718,0.752839215,0.969385105,
CR46045,0.10419215,0.888656952,1,
CG3907,0.10433635,0.680332159,0.924767472,
CG5660,0.104356684,0.804566862,0.999493886,
Cdc5,0.104396673,0.721908806,0.951913828,
CG14621,0.104471849,0.771314431,0.980911984,
tai,0.104532595,0.709593126,0.94406625,
Dredd,0.104548825,0.771703582,0.980967572,
SelR,0.104645883,0.674725035,0.922957991,
enok,0.104665029,0.768038608,0.979009931,
CG4751,0.104686077,0.705740451,0.941669246,
CG33932,0.104745418,0.697286765,0.935688932,
Rpp20,0.104745418,0.697286765,0.935688932,
oxt,0.104938618,0.712384312,0.945752594,
nrv3,0.105015162,0.69050818,0.931004322,
CG5274,0.105126907,0.771335963,0.980911984,
lola,0.105360825,0.712418852,0.945752594,
Wwox,0.105400317,0.706256991,0.942070986,
Spn43Aa,0.105938136,0.908167603,1,
RpS10b,0.106014253,0.713549052,0.946733926,
Tdc1,0.106037138,0.903307796,1,
SmE,0.106481066,0.753602256,0.969796442,
Mlc-c,0.106603365,0.696311128,0.935043019,
GstT3,0.10688178,0.751554437,0.968694999,
CG4036,0.106988457,0.777657929,0.983648872,
CG5087,0.107276199,0.717020849,0.94890244,
Su(Tpl),0.107629369,0.677725213,0.924767472,
Trip1,0.107835212,0.684300888,0.927303296,
CG33276,0.107957099,0.732336058,0.958437418,
Rpb4,0.108058748,0.662288339,0.91689439,
Prx6005,0.108072049,0.708462504,0.943214524,
Nsf2,0.10834337,0.683378625,0.926534275,
CG34034,0.108418976,0.884697519,1,
Plip,0.10846797,0.707097644,0.942619352,
CG31019,0.108741125,0.946177983,1,
RpL4,0.108829393,0.737884857,0.961950731,
CG32442,0.10888265,0.695349514,0.934724758,
sun,0.108902843,0.728935379,0.955559869,
Ipp,0.10910498,0.696032754,0.935043019,
CG17450,0.109399996,0.941433523,1,
ago,0.109442475,0.726342362,0.954124374,
Aatf,0.10951391,0.731484899,0.957965361,
jagn,0.109543168,0.716612319,0.948582318,
CG1550,0.110098812,0.660301141,0.91689439,
CG8841,0.11012354,0.667634619,0.918864454,
NP15.6,0.110203564,0.710570665,0.944654982,
CG34141,0.110416396,0.884171824,1,
CG9306,0.110455676,0.693691454,0.933425413,
MED31,0.110693118,0.794345986,0.993583263,
CG9356,0.110815761,0.754211837,0.96996941,
CR44373,0.111086242,0.937787152,1,
Ced-12,0.111134652,0.707406491,0.942813345,
CG17904,0.111228541,0.694250899,0.933747172,
CG11444,0.111410911,0.708095084,0.943137241,
CG43844,0.111429327,0.916481654,1,
CG3546,0.111431096,0.866480157,1,
phl,0.111485572,0.714320899,0.94704916,
Muc4B,0.111928627,0.931167798,1,
CG2906,0.112028958,0.732451062,0.958516204,
Vps36,0.112297388,0.755717373,0.970447639,
Etl1,0.112562254,0.67207854,0.921521829,
rho-4,0.112589444,0.719695891,0.950572507,
Vha36-1,0.112595208,0.717188618,0.948980854,
CG3085,0.112656297,0.735547543,0.960412582,
CG8602,0.112692005,0.693094207,0.933350204,
DNApol-iota,0.112861766,0.677432948,0.924663984,
Ada2a,0.112982635,0.647522736,0.912017777,
CG17721,0.11308653,0.74921889,0.96735851,
CG31122,0.113279812,0.686324361,0.927525524,
CG43732,0.113395855,0.826443448,1,
CG12413,0.113560089,0.742541961,0.963987156,
CG11447,0.113643859,0.733765404,0.9589447,
CG6650,0.113884789,0.647133571,0.911595212,
Pp2A-29B,0.114070905,0.725966364,0.953955801,
Nnp-1,0.114080357,0.781195235,0.98607857,
hpo,0.114090123,0.664260043,0.916961969,
CG31898,0.114679334,0.804464213,0.999493886,
CG33969,0.114818297,0.665045925,0.917435389,
CG11454,0.114833985,0.71616081,0.948410128,
RpL6,0.114921578,0.717653253,0.949263305,
CG10343,0.114921905,0.694888438,0.93431725,
CG5447,0.115257531,0.655211015,0.915724728,
mRpS10,0.11528846,0.693543864,0.933351466,
CG6931,0.115494385,0.706995724,0.942619352,
CG17109,0.11554506,0.847013876,1,
rno,0.11568664,0.774912433,0.982370034,
CG34273,0.115901251,0.933033011,1,
thoc5,0.116040234,0.731187181,0.957650427,
CG7598,0.11610752,0.696091722,0.935043019,
CG8607,0.116112533,0.695126585,0.934565606,
mRpS9,0.116230152,0.695974029,0.935043019,
botv,0.116541143,0.70883421,0.943565746,
CG6059,0.116545471,0.89473123,1,
Gmd,0.116744281,0.69095465,0.931462681,
uzip,0.11680169,0.790827344,0.99136828,
RhoBTB,0.116863812,0.661993329,0.91689439,
CG15247,0.116946349,0.868556542,1,
CG17806,0.117184722,0.789631647,0.991000338,
Oxp,0.117525084,0.938000543,1,
CG5084,0.117582078,0.932611271,1,
Ect3,0.117792185,0.8607601,1,
CG9372,0.118180194,0.719755741,0.950579771,
CR46005,0.118505884,0.857895802,1,
Syp,0.118510652,0.722737466,0.952445076,
Pk92B,0.118657814,0.729126446,0.955738705,
Prosalpha4,0.118919981,0.674021686,0.922645323,
CG2186,0.118921296,0.664716769,0.917287565,
Sry-delta,0.11913113,0.732103654,0.958437418,
CG13527,0.119182611,0.907131724,1,
IntS11,0.119227451,0.628879496,0.900827386,
Cdc42,0.119324452,0.671221802,0.9208306,
Iris,0.119416513,0.74517633,0.965488852,
CYLD,0.119764223,0.661747543,0.91689439,
Nbr,0.120007799,0.647793256,0.912157157,
Mur29B,0.120008719,0.846466033,1,
Hmt-1,0.120068753,0.624308166,0.898323624,
scpr-A,0.120136213,0.940592418,1,
atms,0.120152059,0.653312701,0.915653429,
mir-4949,0.120258016,0.889236169,1,
CG5646,0.120298021,0.815755036,1,
c(2)M,0.120318373,0.64372511,0.908770052,
Rox8,0.120332359,0.658695465,0.915829476,
Itgbetanu,0.120445373,0.76564095,0.97773512,
Prp18,0.120472093,0.667324494,0.918726811,
Mst89B,0.12052229,0.762277711,0.975746865,
mRpL55,0.120643071,0.778556231,0.983930066,
CR43945,0.120795195,0.940288398,1,
dj-1beta,0.120860593,0.623095925,0.898207181,
rnh1,0.12097084,0.69616267,0.935043019,
CG11686,0.121021077,0.814228317,1,
CG16857,0.121248936,0.885974988,1,
CG43295,0.121311626,0.804557396,0.999493886,
dsh,0.121326654,0.715243321,0.947697401,
CG12194,0.121349296,0.717424801,0.949149756,
grk,0.121395433,0.716432634,0.948582318,
CG4854,0.121413014,0.778649288,0.983930066,
sing,0.121620244,0.73454521,0.959676979,
bonsai,0.121632719,0.650965941,0.914195785,
esn,0.121763322,0.837523893,1,
CG13603,0.121822643,0.66226854,0.91689439,
Cpsf100,0.12200917,0.699014903,0.936734896,
ClC-c,0.122047368,0.684426296,0.927379603,
CG32633,0.122406826,0.854971302,1,
CR43361,0.122477955,0.80521311,0.999986368,
CR45380,0.122630157,0.827794455,1,
tilB,0.122631199,0.733154798,0.958638688,
CG7275,0.122648018,0.701485659,0.938641586,
olf186-M,0.122749069,0.665283124,0.917435389,
rudhira,0.122772108,0.713026147,0.946233181,
CG4281,0.122868528,0.686142584,0.927525524,
Surf6,0.123023346,0.693411035,0.933351466,
CG44254,0.123112484,0.762900639,0.97587451,
CR44367,0.123229506,0.840750671,1,
dsd,0.123434971,0.660270073,0.91689439,
Pex23,0.123480421,0.696334936,0.935043019,
CG14483,0.12369218,0.705998004,0.941797352,
N,0.123793138,0.634703596,0.902720951,
CG12836,0.123858767,0.749149165,0.96735851,
CG11665,0.123968998,0.634112925,0.902720951,
shg,0.124023459,0.68431696,0.927303296,
CG12050,0.124144972,0.739225343,0.962864452,
Syx17,0.124471098,0.693349807,0.933351466,
dgt1,0.125119185,0.676419344,0.923908802,
CG2604,0.125360761,0.686383276,0.927525524,
Dscam3,0.125391366,0.829889887,1,
CG10793,0.12551724,0.857960259,1,
CG3880,0.125644704,0.761278503,0.975366998,
FucT6,0.12583741,0.711755024,0.945445855,
tweek,0.125949012,0.735830507,0.960636727,
CG7049,0.126033517,0.65224094,0.914885853,
CG2104,0.126677213,0.929740779,1,
CG15514,0.127025353,0.644550085,0.909280917,
CG6432,0.127026934,0.805930745,1,
CG14414,0.127231154,0.662418563,0.91689439,
psidin,0.127419352,0.658198733,0.915724728,
CG3246,0.127445118,0.774564555,0.982174586,
l(1)G0334,0.127514661,0.699977181,0.937471803,
CG14434,0.127541119,0.644774732,0.90944436,
polo,0.127668199,0.771611293,0.980967572,
CG9776,0.127692757,0.645689174,0.910171247,
CG17163,0.127713268,0.749778393,0.967938005,
CG11755,0.127755325,0.650762763,0.914057238,
CG14253,0.127847036,0.662645894,0.91689439,
CR45806,0.127907984,0.647575269,0.912017777,
CG17996,0.128206525,0.720292589,0.950929754,
cer,0.128260051,0.746143463,0.966026291,
CG4968,0.128374631,0.68946559,0.930099906,
CG17249,0.128595177,0.773485067,0.981944823,
CG10681,0.128952662,0.690080744,0.930499747,
CG17737,0.129036081,0.625016708,0.898323624,
CG3887,0.129443516,0.61738229,0.895098198,
CR45275,0.129658142,0.691746475,0.932242707,
CG7433,0.129895803,0.714245972,0.94704916,
CG10721,0.129922818,0.669947928,0.920462846,
CG4630,0.130023426,0.79427888,0.993583263,
CG14184,0.130036007,0.674678187,0.922957991,
Osi12,0.130039748,0.923660172,1,
vnc,0.130099189,0.605405322,0.887366319,
CG11455,0.130099236,0.674603232,0.922957991,
CG42455,0.130101073,0.605428376,0.887366319,
CG7860,0.130304381,0.89428093,1,
CG2310,0.130329847,0.747614266,0.966693187,
CG9911,0.130385222,0.596218809,0.880285916,
Rnp4F,0.130521091,0.701395172,0.938593176,
pre-mod(mdg4)-AD,0.130674981,0.679482851,0.924767472,
CG2924,0.130775996,0.64253055,0.907743079,
Sirt2,0.130991527,0.761732967,0.975708672,
nst,0.131027863,0.616922602,0.894765429,
Peritrophin-15a,0.131044993,0.868499089,1,
Letm1,0.131110751,0.698643219,0.936486044,
l(2)k09022,0.131426229,0.698336721,0.936362255,
CG34442,0.131442536,0.864112479,1,
CaMKI,0.131489966,0.634331969,0.902720951,
mRpL50,0.131854025,0.716495637,0.948582318,
CG31477,0.132378574,0.879036706,1,
CR45894,0.132464896,0.871711697,1,
CG43998,0.132529794,0.845865625,1,
CG43999,0.132529794,0.845865625,1,
Ada2b,0.132536427,0.627023022,0.899095886,
CG10055,0.132542399,0.630566106,0.902019467,
ttv,0.132570719,0.653721614,0.915724728,
CG7461,0.132571462,0.637090218,0.904342764,
CG15618,0.132727582,0.750495821,0.968394943,
CG16896,0.132832878,0.664048428,0.91689439,
M1BP,0.132865662,0.6441358,0.908982988,
dap,0.132985751,0.667492264,0.918813136,
Lrr47,0.133033621,0.709777921,0.944175223,
CR43150,0.133150789,0.878403655,1,
Chi,0.133185746,0.68378103,0.926936151,
Hr78,0.133723709,0.625814362,0.898323624,
CG7280,0.133818647,0.746364854,0.966098379,
CG3500,0.133840164,0.718435511,0.949553169,
Bub3,0.134070084,0.685510662,0.927525524,
CG6018,0.134111699,0.596662398,0.880569179,
CG9775,0.134188532,0.674685418,0.922957991,
CG15650,0.134211798,0.691908681,0.932389463,
CG16817,0.134322582,0.62479581,0.898323624,
CG6951,0.134718458,0.718731931,0.949801395,
Ir25a,0.134802906,0.811219576,1,
Gpo-1,0.135090169,0.729591384,0.956209906,
CG34039,0.135668866,0.737190008,0.961917001,
sky,0.135912975,0.694110726,0.93367267,
CR44064,0.135930503,0.708200677,0.943151971,
CG30340,0.136071152,0.821066259,1,
CR44766,0.136095167,0.773039076,0.981663649,
CG4577,0.136176808,0.652570701,0.91520019,
CR45397,0.136233847,0.741427073,0.963659707,
CG11858,0.136361226,0.628958153,0.900866276,
CG1888,0.136467842,0.670270571,0.920646764,
l(2)efl,0.136842868,0.879497054,1,
Arf79F,0.137106247,0.64925531,0.912672832,
CG9934,0.137384115,0.625788116,0.898323624,
FER,0.137654398,0.743723861,0.964688531,
CG3409,0.137823881,0.633450592,0.902720951,
CG45092,0.137823881,0.633450592,0.902720951,
qkr58E-2,0.137870224,0.595280353,0.879303121,
CG10222,0.138251561,0.713642288,0.946733926,
Sr-CIV,0.138258777,0.86019019,1,
Apc,0.138293059,0.609712106,0.889916109,
RhoGAP1A,0.13831214,0.620127909,0.89669494,
sip3,0.138555045,0.625491676,0.898323624,
Aats-his,0.138787648,0.696086465,0.935043019,
CG10166,0.138916395,0.584427666,0.869625251,
wap,0.138951397,0.620266147,0.89669494,
dbo,0.13929358,0.657337954,0.915724728,
Bap55,0.139305237,0.58793893,0.87283347,
ebd2,0.139357963,0.673430536,0.922196999,
CG13531,0.13954285,0.680552773,0.924767472,
CG9300,0.139678506,0.754930176,0.970020225,
Zif,0.139685258,0.674798974,0.922986944,
CR43877,0.139905468,0.696632773,0.935213766,
CG18155,0.140050085,0.78665303,0.98918409,
CG9166,0.14026847,0.663376825,0.91689439,
Top3alpha,0.140491036,0.750519923,0.968394943,
MED16,0.140540175,0.769906564,0.980076346,
Sas,0.14057034,0.71790156,0.949263305,
Fem-1,0.140607853,0.617612047,0.895171518,
CG30020,0.140641985,0.641903165,0.907149835,
CG30109,0.140902496,0.618608143,0.896318152,
CG13900,0.140943046,0.608419655,0.889576133,
CG17124,0.140945572,0.709158488,0.943741752,
CG30415,0.141022537,0.585491745,0.870695572,
stwl,0.141083554,0.68426448,0.927303296,
mRpS22,0.141301381,0.732821239,0.958638688,
CR45531,0.141454389,0.83926151,1,
CG8636,0.141571812,0.575931676,0.862800312,
CG34183,0.141746931,0.57449605,0.86196585,
CR45184,0.141885822,0.606912478,0.888499142,
CG1764,0.141989562,0.7128109,0.946122991,
flr,0.142176556,0.636752942,0.904342764,
CG1738,0.142257883,0.728416474,0.955302943,
Taf7,0.142411061,0.650334761,0.913676197,
wake,0.142546162,0.707691085,0.942943273,
SmG,0.142560637,0.647898763,0.912232279,
Os-C,0.142828582,0.86421211,1,
RpS15Aa,0.142953317,0.638886961,0.904457153,
CG42326,0.14300733,0.868176299,1,
CR44206,0.143084993,0.812871173,1,
CG5846,0.143087442,0.733278362,0.958638688,
Map60,0.143337996,0.689701145,0.930255636,
mRpS18A,0.143533753,0.676814661,0.924081844,
Pde1c,0.143860566,0.718255198,0.949458349,
CG5346,0.144136409,0.63227602,0.90269125,
CG32313,0.144550326,0.812135128,1,
Cad96Cb,0.144621451,0.842318051,1,
Mulk,0.144675427,0.570995996,0.859220508,
CdGAPr,0.144811074,0.605841299,0.887822734,
CG10418,0.144948007,0.704058627,0.94064513,
CG2065,0.144966098,0.817686161,1,
pre-rRNA-Psi:CR45856,0.14510557,0.749031558,0.96735851,
Rab39,0.145207846,0.593010289,0.877251963,
fz4,0.145297477,0.65026697,0.913654347,
mus312,0.145300468,0.687776859,0.928548,
Rpp30,0.145384501,0.6698041,0.920462846,
CG6073,0.14540063,0.725357669,0.953729186,
CG4820,0.145446597,0.721360597,0.951621424,
CG42307,0.145580583,0.685279298,0.927525524,
CG14883,0.145611357,0.659821743,0.91689439,
MED18,0.145674518,0.643835267,0.908778858,
CG14160,0.145685168,0.754652389,0.970005901,
CG1542,0.145840061,0.673658006,0.922219672,
l(2)not,0.145937808,0.668643998,0.91961764,
sws,0.145991186,0.632574459,0.902720951,
Cyp6t1,0.146001766,0.782358416,0.986494929,
CG17991,0.1461403,0.802739195,0.997932228,
Gbs-70E,0.146188392,0.744009292,0.964688531,
Hel25E,0.14652519,0.565763609,0.85569055,
CG3226,0.146816114,0.597868077,0.881307431,
CR44872,0.146873944,0.663044486,0.91689439,
CG11137,0.146882256,0.559770245,0.850228536,
CG8243,0.146900822,0.584473689,0.869625251,
CG14722,0.146912604,0.665875039,0.917464783,
Rpt4,0.147098587,0.630291272,0.902019467,
CG9018,0.147179838,0.6519004,0.914773587,
CG31467,0.1473122,0.759819072,0.974284133,
CG18094,0.147550953,0.680486591,0.924767472,
RpL10,0.147776095,0.615801061,0.893635834,
TppII,0.148065922,0.631358852,0.902019467,
CG4363,0.148281189,0.870998887,1,
Roc1b,0.148298771,0.646238055,0.910700473,
CG14194,0.148462998,0.597476786,0.881008922,
pre-mod(mdg4)-N,0.149310793,0.666259241,0.917765939,
CG8498,0.149363461,0.569119096,0.85839022,
CG1234,0.149504084,0.611134492,0.891174109,
CG4069,0.149524522,0.593694586,0.877892992,
Cyp12e1,0.149720676,0.807732005,1,
pre-mod(mdg4)-O,0.14974328,0.665384586,0.917435389,
mRpL40,0.149890888,0.701732147,0.938827756,
CG10979,0.149914749,0.61991711,0.89669494,
Rpb11,0.150437153,0.633425145,0.902720951,
CG16736,0.150498504,0.737613789,0.961917001,
Dbp73D,0.15053773,0.651699986,0.914565735,
Poc1,0.150555005,0.611600019,0.891184232,
CG8067,0.150567267,0.653903295,0.915724728,
CG17691,0.150603169,0.598093337,0.881565184,
rtp,0.150712588,0.682113881,0.925575599,
Srp19,0.150839126,0.651560804,0.914550091,
Arc42,0.150866993,0.663665292,0.91689439,
CG31648,0.150878251,0.67822992,0.924767472,
Dip-B,0.150933337,0.549104563,0.841408692,
CG5644,0.15129489,0.802700269,0.997932228,
GstE5,0.151326231,0.802362487,0.997932228,
spoon,0.15160194,0.630801866,0.902019467,
CG9586,0.151709467,0.602937195,0.884937008,
Rpn6,0.151857741,0.54894347,0.841408692,
pgc,0.151938699,0.668296425,0.919341236,
CG14881,0.152158473,0.713816471,0.946804152,
snoRNA:Me18S-A1576,0.152174317,0.852361008,1,
CG1637,0.152222664,0.613452508,0.892401461,
pre-mod(mdg4)-AA,0.152264434,0.659979878,0.91689439,
Nhe3,0.152283299,0.596423712,0.880469887,
